Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ROSA ICELA RODRIGUEZ VELAZQUEZ," Con su permiso, señor presidente. Buenos días a todas y a todos.",0.0,12,10,09,2024
ROSA ICELA RODRIGUEZ VELAZQUEZ,"El día de hoy vamos a presentar algunos, solamente algunos de los casos representativos de la falta de justicia o de impartición de justicia en algunos de estos casos, casos que hace justicia lenta, los ‘sabadazos’, la parte de la imposición de sentencias que pasan años y años y la gente no recibe una sentencia. Entonces, aquí vamos con la primera.",0.0,61,10,09,2024
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Rápidamente, estos son los casos de jueces que otorgaron libertad a delincuentes en fines de semana, viernes, sábado o domingo, ‘sabadazo’ clásico. Este es el caso del juez Gregorio Salazar Hernández, con sede en Almoloya de Juárez, su juzgado, que da beneficio a Jannet Miriam, quien era colaboradora de Genaro, exsecretario de Seguridad Pública, y le da un cambio de medida cautelar, que significa la liberación inmediata desde el centro de justicia, ya ni siquiera van al reclusorio, sino desde el centro de justicia les declaran libertad inmediata. Y, bueno, los delitos: peculado y delincuencia organizada. Y lo que decíamos, en viernes, en viernes, para tratar de sorprender a las autoridades y de manera que no pueden, a veces, checar todas las fiscalías, todos los juzgados del país para ver si tiene alguna orden de aprehensión o un proceso pendiente.",0.0,140,10,09,2024
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Otro caso es el del jue Andrés Escamilla González, él está en el estado de Tamaulipas con residencia en Reynosa. Y la persona beneficiada es Vicente Javier, alias ‘el Cholula’ o ‘el Puebla’, él es parte del grupo criminal cártel Jalisco. Y los delitos: robo con violencia, homicidio calificado, asociación delictuosa, privación ilegal, secuestro. Y el plazo otorgado para la liberación es inmediato. Entonces, esas decisiones que toma el propio juez en viernes. Claro que checamos todo y tenemos que soltarlo, a veces, más de 24 horas después, porque hasta que no se revise bien, indicamos la parte de lo que sucede en otros estados.",0.0,105,10,09,2024
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Otro juez es Adrián Leobardo Ríos González, él está ubicado en el estado de Nuevo León, con sede en Monterrey, y él beneficia a José Eliseo o alias ‘el Charal’, él es parte del grupo delictivo de los Zetas. Y los delitos: homicidio y robo. Y el plazo otorgado para la liberación en sábado es inmediatamente, inmediatamente.",0.0,57,10,09,2024
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Otra jueza es Angélica Sánchez Hernández, con sede, su juzgado, en Cosamaloapan, Veracruz. Ella benefició a Itiel ‘el Compa Playa’, él es integrante del cártel Jalisco, está acusado de homicidio calificado, doloso calificado y agravado. Y la notificación del egreso se hace el sábado, un ‘sabadazo’, y el plazo otorgado para la liberación es de una hora. De todas maneras, continúa procesado por otros casos, pero es una, insistimos, es una irregularidad a todas las luces la decisión de que en una hora sea liberado, además.",0.0,86,10,09,2024
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Otro juez, Rogelio León Díaz Villarreal, con residencia en Almoloya de Juárez, pues él, este señor juez, le dio la libertad al señor Abraham, alías ‘el Rodo’, él es hermano del líder del cártel Jalisco Nueva Generación. La fecha de notificación de su egreso fue el domingo y le da un plazo la autoridad para liberarlo de tres horas.",0.0,59,10,09,2024
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Otro juez, Daniel Ramírez Peña, él está, también, su residencia, en el juzgado de Almoloya de Juárez. La persona beneficiada es Angélica, ella es también integrante, familiar, del cártel de Santa Rosa de Lima, este cártel que opera en Guanajuato, donde hay tanta problemática de violencia. La fecha de su notificación es el viernes y el plazo otorgado es de 12 horas; fue liberado el sábado. Ella continúa con un proceso, pero es otra evidencia más de las anomalías de los jueces.",0.0,82,10,09,2024
ROSA ICELA RODRIGUEZ VELAZQUEZ,"También a jueza Perla Fabiola Estrada Ayala, con sede en Campeche, ella da beneficios a Pedro Antonio, ‘el Manchas’, ‘el Cholo’, quien pertenece al grupo delictivo de los Zetas y está acusado del delito de delincuencia organizada y de delitos contra la salud. El plazo otorgado para su liberación es 24 horas, insistimos en las liberaciones de los viernes y los sábados.",0.0,62,10,09,2024
ROSA ICELA RODRIGUEZ VELAZQUEZ,"También, la jueza benefactora Diana Montserrat Partida Arámburo, ella es una jueza sexta de distrito especializada en ejecución de penas de la Ciudad de México, y da la libertad a Marcelino, ‘el Fantasma’, integrante del cártel de Sinaloa. Y los delitos: contra la salud y portación de armas de fuego. La libertad la da en vienes, y el plazo otorgado para su liberación: 24 horas.",0.0,65,10,09,2024
ROSA ICELA RODRIGUEZ VELAZQUEZ,"También, el juez José Luis Hernández Hernández. Él está en Torreón, su sede está en Torreón, y beneficia a Guillermo ‘el Memo’, él es integrante de la Fuerza Anti-Unión Tepito. Es el hermano de ‘el Tortas’, así lo conocen. Y los delitos; contra la salud y posesión de cartuchos. Su fecha de notificación de egreso del penal es el viernes y le da 24 horas a la autoridad para que sea egresado.",0.0,72,10,09,2024
ROSA ICELA RODRIGUEZ VELAZQUEZ,Esos son algunos casos de jueces.,0.0,6,10,09,2024
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Ahora, ¿cuáles son algunos delincuentes beneficiados también por el Poder Judicial de los más relevantes?, pues tenemos el caso del exgobernador de Puebla, Mario Marín. Él es acusado por el delito de tortura cometido en agravio de una importante periodista. Entonces, este caso donde la jueza Angélica del Carmen Ortuño Juárez, por el delito de tortura, le da un cambio de medida cautelar y lo manda a su domicilio particular en Puebla; y aparte, le pone Guardia Nacional afuera de su domicilio, dispone de elementos para que sea cuidado permanentemente. Entonces, aparte de que le da una libertad a domicilio de manera anómala, pues tenemos que ocupar elementos de la Guardia Nacional para estarlo cuidando.",0.0,115,10,09,2024
ROSA ICELA RODRIGUEZ VELAZQUEZ,"También está el caso del exdirector general de Pemex, Emilio, también, quien le hacen un cambio de medida cautelar, que no estaba debidamente fundada, y le dan brazalete y también de que no pueda salir de la Ciudad de México, así como la entrega de su pasaporte.",0.0,47,10,09,2024
ROSA ICELA RODRIGUEZ VELAZQUEZ,"También está el caso de tres detenidos este año por la Fiscalía de Guanajuato. Este caso es de un grupo de delincuentes que opera ahí en Guanajuato, uno de ellos es el hijo del delincuente conocido como ‘el Marro’. Y la juez María del Refugio Castañeda Guillén no les da prisión preventiva a estos delincuentes y les da la libertad.",0.0,60,10,09,2024
