Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Ciudadanos alertadores internos y externos de la corrupción es un nuevo programa del gobierno de México encabezado por el presidente Andrés Manuel López Obrador y liderado por la secretaria de la Función Pública, doctora Irma Eréndira Sandoval Ballesteros.",0.32823650481604266,38,7,8,2019
PREGUNTA," Una de las estrategias más exitosas en el mundo para combatir la corrupción es el auspicio y protección de los alertadores, en muchas ocasiones no se denuncia por temor a represalias.",0.32823650481604266,31,7,8,2019
PREGUNTA," Los alertadores, también conocidos como whistleblower, son figuras estratégicas para combatir la corrupción, son verdaderos héroes de la honestidad que mejorar la realidad del país.",0.32823650481604266,25,7,8,2019
PREGUNTA," Con el nuevo programa de la Función Pública, el anonimato del alertador y la confidencialidad de las comunicaciones permitirá salvaguardar a mujeres y hombres que en un ejercicio de honestidad individual adviertan sobre faltas administrativas graves y posibles violaciones de derechos humanos.",0.32823650481604266,42,7,8,2019
PREGUNTA,Las alertas contribuyen a erradicar la corrupción e impunidad en México.,0.32823650481604266,11,7,8,2019
PREGUNTA," El programa salda una deuda impostergable en México, que es estimular la denuncia.",0.32823650481604266,13,7,8,2019
PREGUNTA, Denuncia. Visita alertadores.funcionpublica.gob.mx,0.32823650481604266,3,7,8,2019
PREGUNTA, Gobierno de México.,0.32823650481604266,3,7,8,2019
PREGUNTA," ¿Este programa es el que refirió la pasada administración, presidente?",0.32823650481604266,10,7,8,2019
PREGUNTA," Buenos días, presidente. Diana Benítez, del periódico 24 Horas.",0.32823650481604266,9,7,8,2019
PREGUNTA,Buenos días también a los funcionarios.,0.32823650481604266,6,7,8,2019
PREGUNTA,"Pedirle al director del SAE si nos puede explicar de cuánto es el adeudo del predial de la casa, porque el abandono se declaró este 2007. También deudas de agua, de luz si se tienen, si estas las cubre el SAE, la fiscalía, ¿o cómo es esa parte en el proceso de transparencia y de transferencia?",0.32823650481604266,56,7,8,2019
PREGUNTA,"Si nos puede explicar, por favor.",0.32823650481604266,6,7,8,2019
PREGUNTA, ¿Y eso corresponde solo a predial o también…?,0.32823650481604266,8,7,8,2019
PREGUNTA, Gracias.,0.32823650481604266,1,7,8,2019
PREGUNTA," Jocelyn Gutiérrez, de político.mx.",0.32823650481604266,4,7,8,2019
PREGUNTA,"Hace unos días usted comentó que la casa del empresario chino-mexicano Zhenli Ye Gon pertenece a un político, algunos columnistas perfilan que la propiedad pertenecía al ex senador Germán Corona del Rosal.",0.32823650481604266,32,7,8,2019
PREGUNTA,"Queremos saber aquí en político.mx si usted nos puede confirmar esta información o en caso de ser contrario, si nos podría revelar el verdadero nombre, por favor.",0.32823650481604266,27,7,8,2019
PREGUNTA,Y si me permite realizarle una pregunta más.,0.32823650481604266,8,7,8,2019
PREGUNTA," Bueno, presidente, también surgió la versión que al interior de Morena se propone modificar la ley para que usted pueda realizar su informe de gobierno den San Lázaro. Queremos saber cómo ve esta opción.",0.32823650481604266,34,7,8,2019
PREGUNTA,Y si nos puede detallar un poco más su plan para este próximo 1º de septiembre.,0.32823650481604266,16,7,8,2019
PREGUNTA," Por último, presidente, y aprovechando que está la secretaria Irma Eréndira Sandoval, en los últimos días el expresidente Felipe Calderón la acusa de nepotismo. Queríamos saber cuál es su opinión sobre esto, por favor.",0.32823650481604266,34,7,8,2019
PREGUNTA," A la secretaria Irma Eréndira Sandoval, ex expresidente Felipe Calderón, a través de Twitter, la ha estado acusando los últimos días de nepotismo.",0.32823650481604266,23,7,8,2019
PREGUNTA," Buenos días, presidente de México. Carlos Pozos, de la revista Petróleo y Energía.",0.32823650481604266,13,7,8,2019
PREGUNTA,"Antes de mis dos preguntas. Aquí está mi tarea en donde están las siete potencias mundiales, son dirigidas por hombres y mujeres que rebasan los 60 años, algunos casos llegan a los 70 y cerca de los 80 años, presidente.",0.32823650481604266,40,7,8,2019
PREGUNTA,"Vladimir Putin, el presidente de Rusia tiene 65 años; Donald Trump, que nació el 14 de junio de 1946, tiene 71 años; Xi Jinpin nació el 15 de junio de 1953, tiene 64 años; Ram Nath Kovind nació el 1º de octubre de 1945, tiene 72 años y él es el presidente de la India; Shinzo Abe nació el 21 de septiembre 1954, él tiene 63 años, primer ministro de Japón; Angela Merkel, nació el 17 de julio de 1954 y tiene 63 años, canciller de Alemania; Theresa May, nació el 1º de octubre de 1956, tiene 61 año; y usted, presidente de México, licenciado Andrés Manuel López Obrador, presidente 79 de México, tiene 65 años, nació el 13 de noviembre del 1953 y entra al club de los 60 años. Esa es la tarea.",0.32823650481604266,135,7,8,2019
PREGUNTA,"Presidente, mi primera pregunta es, ayer se la quería plantear, si en la mesa de seguridad ustedes ya tienen la cifra de que se registraron 30 mil 724 armas legales en México, según datos de la Secretaría de la Defensa Nacional, son armas legales; en tanto, el Instituto de Altos Estudios Internacionales y del Desarrollo, con sede en Ginebra, Suiza, estima que hay en nuestro país 16.8 millones de armas legales e ilegales en manos civiles en todo el país. Somos, presidente, después de Estados Unidos, uno de los países más armados.",0.32823650481604266,92,7,8,2019
PREGUNTA,Quisiera saber qué acciones piensa ejecutar inmediatamente su gobierno para despistolizar a nuestro pueblo. Esa es mi primera pregunta.,0.32823650481604266,19,7,8,2019
PREGUNTA," Gracias, presidente de México.",0.32823650481604266,4,7,8,2019
PREGUNTA,"Mi segunda pregunta. El EZLN -herencia neoliberal del expresidente Carlos Salinas de Gortari- a través del subcomandante Galeano se opone a la construcción del Tren Maya, el cual entiendo inicia obra en este mes de abril…en este mes de agosto, perdóneme, una vez que se tenga el resultado del impacto ambiental.",0.32823650481604266,51,7,8,2019
PREGUNTA,"¿Qué va a suceder en el estado de Chiapas donde pasará el Tren Maya con esta postura del EZLN, y si me permite ponerle el audio?",0.32823650481604266,26,7,8,2019
PREGUNTA," Vamos a enfrentar, no vamos a permitir que pase aquí ese su proyecto de destrucción, no le tenemos miedo a su Guardia Nacional, que lo cambió de nombre para no decir Ejército, que son los mismos, lo sabemos.",0.32823650481604266,38,7,8,2019
PREGUNTA,"Vamos a defender lo que hemos construido y que lo estamos demostrándole al pueblo de México y al mundo que somos nosotros los que estamos construyendo, mujeres y hombres. No vamos a permitir a que vengan a destruirnos, ¿o sí?",0.32823650481604266,40,7,8,2019
PREGUNTA," Ese es el audio. Y quisiera saber su respuesta, presidente de México.",0.32823650481604266,12,7,8,2019
PREGUNTA," Muchas gracias, presidente.",0.32823650481604266,3,7,8,2019
PREGUNTA, ¿La Casa de Moneda?,0.32823650481604266,4,7,8,2019
PREGUNTA," En el reporte que le presentaron sobre la Casa de Moneda ¿a usted como presidente le reportaron la participación de ex policías federales, por ejemplo, en esto de la tienda en Casa de Moneda?",0.32823650481604266,34,7,8,2019
PREGUNTA,"Y me gustaría saber si este tipo de acontecimientos en las sedes de los poderes no es un desafío, justamente, a las autoridades federales. Tenemos este asalto aquí en Reforma y hace unas semanas lo de la Plaza Artz,",0.32823650481604266,39,7,8,2019
PREGUNTA,"¿Hay participación de policías ex federales en esta táctica, por ejemplo, de distraimiento para que se suscitara la balacera al interior del restaurante?",0.32823650481604266,23,7,8,2019
PREGUNTA,Ahora viene este asalto en la Ciudad de México con maniobras muy especializadas. ¿Tiene información en ese sentido?,0.32823650481604266,18,7,8,2019
PREGUNTA, ¿Pero no se sabe si hay ex servidores públicos involucrados?,0.32823650481604266,10,7,8,2019
PREGUNTA,Para dejarlo ahí nada más.,0.32823650481604266,5,7,8,2019
PREGUNTA," Presidente, se reunió con Waldron.",0.32823650481604266,5,7,8,2019
PREGUNTA,"¿Podría contarnos detalles de su reunión con este ejecutivo de Goldman Sachs?, en particular después de estas rispideces que ha habido por la lectura que ha tenido este tipo de organizaciones al respecto de la economía nacional.",0.32823650481604266,37,7,8,2019
PREGUNTA,"Por favor, presidente.",0.32823650481604266,3,7,8,2019
PREGUNTA, Decía usted que hay confianza en México.,0.32823650481604266,7,7,8,2019
PREGUNTA," Aunque haya caído la inversión fija bruta siete por ciento, se dice la más importante en los últimos 10 años, que finalmente pues mueve la economía la inversión, la certeza y confianza de los empresarios.",0.32823650481604266,35,7,8,2019
PREGUNTA," Oiga, presidente.",0.32823650481604266,2,7,8,2019
PREGUNTA," Sólo quería preguntarle: ¿comparte usted la posición de Hacienda y de la Comisión de Presupuesto de la Cámara de Diputados de gravar con IVA y con un impuesto especial todo lo que tiene que ver con las plataformas digitales?, que en este caso sería para compensar, precisamente una caída en los ingresos tributarios una vez que se reduce la carga a Pemex.",0.32823650481604266,62,7,8,2019
PREGUNTA,"Usted tiene, bueno, ya veo que no, pero ¿cuál es su opinión al respecto?",0.32823650481604266,14,7,8,2019
PREGUNTA," Gracias, buenos días.",0.32823650481604266,3,7,8,2019
PREGUNTA,"Presidente, sobre este dinero del chino que usted, a ustedes les dijeron que se había transferido recursos en tres partes iguales.",0.32823650481604266,21,7,8,2019
PREGUNTA,"Tengo documentos del gobierno de Felipe Calderón que todo indica que se simuló esa transferencia de recursos para construir supuestamente los centros nacionales Nueva Vida, no solamente ese recurso del chino, sino también muchos millones, miles de millones de pesos, millones de dólares canadienses, colombianos, millones de euros que se supone habían transferido también para la atención a las drogas para la construcción de los centros nacionales Nueva Vida y nunca se construyeron estos centros nacionales Nueva Vida, se simuló.",0.32823650481604266,80,7,8,2019
PREGUNTA,Y yo quisiera intercambiar en su momento con el director del Instituto para Devolverle al Pueblo lo Robado esta información para empatarla y poderla publicar.,0.32823650481604266,25,7,8,2019
PREGUNTA,"Esto es lo que yo también quisiera decirle. Su opinión al respecto, si tienen estos datos de estas transferencias simuladas, no solamente del chino.",0.32823650481604266,24,7,8,2019
PREGUNTA,"¿Y qué pasó también el estatus de los barcos de Roberto Borge?, si ya también entran en esta subasta.",0.32823650481604266,19,7,8,2019
PREGUNTA,"Y también quisiera saber si Rosy Orozco ya devolvió la casa que era del hijo de Amado Carrillo, de Vicente Carrillo Leyva que está en Ametepec 137, también en las Lomas de Chapultepec para que entre a subasta esta casa, presidente",0.32823650481604266,41,7,8,2019
