Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MAITE RAMOS GOMEZ, Muy buenos días a todos.,0.0,5,08,05,2023
MAITE RAMOS GOMEZ,"Señor, estamos a 8 de julio, de mayo, 8 de mayo, el 8 de julio llega el tren. En dos meses estaremos recibiendo el primer tren en el taller de Cancún y estamos trabajando para ello. Agradecemos el apoyo de Fonatur, del director Javier May, de la Sedena y de todos los involucrados, obviamente al señor presidente.",0.0,57,08,05,2023
MAITE RAMOS GOMEZ,El día de ayer en la gira estuvimos hablando. Ya se están estableciendo las mesas para poder trabajar en el traslado y en la llegada y recepción del tren.,0.0,29,08,05,2023
MAITE RAMOS GOMEZ,"Este tren, para que ustedes se den una idea, es un tren que cada caja pesa más de 50 toneladas más la cabina. Se tiene que llevar en grandes plataformas, en las cuales estará trasladando más de mil 500 kilómetros para poderlo llevar. Es todo un operativo y es todo un gran evento, el cual nos tiene ocupados y trabajando todos juntos, lo cual creo que es otra muestra de cómo se puede trabajar en forma conjunta.",0.0,77,08,05,2023
MAITE RAMOS GOMEZ,"El tren estará el 8 de julio, llegará, se termina de ensamblar —porque hay algunas cosas que no se ponen para traslado para que sea más seguro, imagínense lo que pesa eso, es un tren que mide 25 metros de largo, más la cabina que son alrededor de dos y medio, estamos hablando de entre 27 y medio, y 28 metros, plataformas de 30 metros para poderlo llevar— se ensambla y, efectivamente, como bien decía el director May y Guadalupe, se tendrán que empezar las pruebas.",0.0,86,08,05,2023
MAITE RAMOS GOMEZ,¿En qué consisten las pruebas?,0.0,5,08,05,2023
MAITE RAMOS GOMEZ,"Bueno, se tendrán que hacer pruebas estáticas y dinámicas, en donde se prueba absolutamente todo: el agua, la luz, la puerta, la cabina, primero toda la parte, digamos, electromecánica y de funcionamiento del tren, y después se tiene que correr en la vía que nos estaba contando Lupe.",0.0,48,08,05,2023
MAITE RAMOS GOMEZ,"Quince mil kilómetros se tienen que correr el primer tren para que probemos absolutamente todo y para esto hemos también equipado a este tren con un sistema que se llama Healt Hub. Este sistema, hagan de cuenta que es como si fuera un electrocardiograma y va a estar funcionando no solamente en las primeras pruebas, va a quedarse funcionando siempre.",0.0,60,08,05,2023
MAITE RAMOS GOMEZ,"Entonces, es como si el tren fuera nuestro paciente y, entonces, en todo momento todos lo distintos sensores nos van diciendo cómo amanece, si le duele algo, por dónde debemos irnos, si hay alguna cosa en la cual prestar atención. Cada 30 segundos se reciben más de 200 señales, esto nos permite prevenir.",0.0,53,08,05,2023
MAITE RAMOS GOMEZ,"¿Cuáles son estas señales en las cuales vamos muy bien, en las cuales necesitamos poner atención?",0.0,16,08,05,2023
MAITE RAMOS GOMEZ,Y es como si necesitara a lo mejor una vitamina o una medicina y entonces puedes tener a tiempo la refacción que va utilizar o la vitamina que quiere decir algún asunto de alguna parte que hay que prevenir y que hay que tener a tiempo. Esto tiene muchos beneficios:,0.0,50,08,05,2023
MAITE RAMOS GOMEZ,"Nos permite tener información en tiempo real, una información para que no podamos tener nunca ni la más mínima gripa, ni un paro cardíaco, ni un COVID, ni absolutamente nada. Y nos permite ir avanzando en dos cosas: el mantenimiento preventivo y sobre todo en la optimización, ¿para qué?, para que el tren sea cada vez más eficiente, no tengamos ningún problema y se mantenga en la mejor condición, como si fuera a correr un maratón constantemente.",0.0,77,08,05,2023
MAITE RAMOS GOMEZ,"Lo más importante es saber en dónde está, qué le duele, para darle absolutamente todo este tratamiento. Y hay varias etapas, en la siguiente lo vemos: tenemos desde la recolección de la información de la información de los datos del tren, lo administramos en una computadora en tiempo real en donde se puede acceder en cualquier momento y hora.",0.0,59,08,05,2023
MAITE RAMOS GOMEZ,"Hay que recordar que vamos a tener un centro de control en Cancún, un gran centro de control, y un centro de control espejo también en Mérida que nos va a permitir administrar absolutamente todas las señales que nos manda el tren, no solamente a través de ese sistema, sino a través de todos los sistemas de señalización que estarán instalados a bordo del tren y a todo el largo y el trazo de la vía.",0.0,76,08,05,2023
MAITE RAMOS GOMEZ,"Por último, enseñarles la consola, hay una consola que es la que va, donde recibe el conductor toda la información. Tiene un nombre en inglés, no me gusta ponerles nombres en inglés, pero, bueno, esta es Human Machine and Interface, que al final de cuentas es una máquina de interfaz con el ser humano.",0.0,54,08,05,2023
MAITE RAMOS GOMEZ,"Y lo más importante, es que, como todo el Tren Maya, está hecho para darle valor a la persona, la información a la persona y centrarlo en la persona. Es una plataforma muy similar a los sistemas del uso del celular, que cada vez los niños son más intuitivos, bueno, en este caso también es intuitivo, es amigable y obviamente se acompañará de toda la capacitación y toda la transmisión del conocimiento para que las mejores personas y los mejores operadores puedan operar el mejor tren para México hecho en México.",0.0,91,08,05,2023
MAITE RAMOS GOMEZ,Muchas gracias.,0.0,2,08,05,2023
MAITE RAMOS GOMEZ," Claro. Son 42 trenes, 219 coches, en distintas configuraciones, 31 trenes estándar, quiere decir, y aquí ya los habíamos presentado, que son los que tienen los asientos y además la cafetería y el servicio de cafetería abordo.",0.0,37,08,05,2023
MAITE RAMOS GOMEZ,"Ocho trenes restaurantes que van a estar espectaculares, los presentamos aquí hace unas semanas, y van a tener una cocina industrial en donde se va a poder cocinar en tiempo real comida de las distintas regiones y vivir toda una experiencia gastronómica a bordo.",0.0,44,08,05,2023
MAITE RAMOS GOMEZ,"Y tres trenes de larga distancia, que también los presentamos aquí, que serán los trenes que tendrán, además del vagón restaurante, los camarotes, las cabinas que se pueden hacer de día asiento y de noche cama, con además el servicio de ducha, baño, cada uno privado.",0.0,46,08,05,2023
