Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Buenos días, señor presidente.",0.0,4,18,01,2024
PREGUNTA,"Eduardo Esquivel Ancona, SDP Noticias.",0.0,5,18,01,2024
PREGUNTA,"Mi primera pregunta es: ¿qué le…? Su opinión acerca del comentario de la comisionada federal de Competencia Económica, la comisionada Andrea Marván, que va a revisar con lupa la trasferencia de las 12 centrales de ciclo combinado y la eólica que hizo Iberdrola a la Comisión Federal de Electricidad, que por la concentración.",0.0,53,18,01,2024
PREGUNTA,"Y no sólo eso, que le va a poner en lupa por las empresas dominantes. A mí se me hace muy raro porque pues si alguien dominaba era Iberdrola y con Ener Naturgy, las dos españolas, dominaban el mercado eléctrico mexicano, inclusive mucho más que la Comisión Federal de Electricidad.",0.0,50,18,01,2024
PREGUNTA,"Y que también va a revisar las condiciones de competencia de Mexicana de Aviación, la nueva línea aérea. Pues se me hace muy raro porque nunca ha dicho nada de la concentración que hay en el mercado del pan de caja o del cemento, o de muchas; entonces, eso nunca lo ven, están viendo nada más esto.",0.0,57,18,01,2024
PREGUNTA, Gómez Fierro.,0.0,2,18,01,2024
PREGUNTA, Dice Marko Cortes que es también transparencia,0.0,7,18,01,2024
PREGUNTA," En una segunda, señor presidente, he estado platicando con las gentes de El Zapotillo, de la presa El Zapotillo, de Palmarejo, la gente de ahí. Ellos están muy agradecidos con lo que se decidió para esa presa, y terminarla y que haya agua para Guadalajara; pero, sin embargo, ellos están pidiendo que si se pudiera cancelar el decreto que emitió el presidente Ernesto Zedillo en el 95, porque ellos quieren un nuevo…",0.0,72,18,01,2024
PREGUNTA,"Y quieren saber también qué pasó con el crédito que dio Banobras a Abengoa, porque la idea original no es sólo llevar hasta inundar los pueblos, sino hacer un acueducto de 40 kilómetros a León para llevar agua, cuando el cauce del río Verde no alcanzaba para eso, y por eso se tomó la decisión de parar esa obra, que es del 2008, cuando fue presidente Felipe Calderón Hinojosa.",0.0,69,18,01,2024
PREGUNTA,"Entonces, ellos quieren saber, porque hay una demanda de Abengoa. La concesión se la dieron a una empresa española que se llama Abengoa y nomas en 15 años no construyó nada, construyó dos kilómetros de 40, y ya no está pagando el crédito que le dio Banobras. Y está demandando a la Conagua esta empresa.",0.0,55,18,01,2024
PREGUNTA,"Entonces, ellos quieren saber si se puede hacer un nuevo decreto que cancele del 95, porque es una casa nueva, ellos lo dicen así. Entonces, quieren…",0.0,26,18,01,2024
PREGUNTA, Es lo que tienen miedo.,0.0,5,18,01,2024
PREGUNTA, ¿Lo de Abengoa?,0.0,3,18,01,2024
PREGUNTA, Mouriño.,0.0,1,18,01,2024
PREGUNTA," El nueve por ciento, y no tenía asiento.",0.0,8,18,01,2024
PREGUNTA,: Es la alarma.,0.0,4,18,01,2024
PREGUNTA, Empresas paraestatales.,0.0,2,18,01,2024
PREGUNTA, Emilio Lozoya trabajaba en…,0.0,4,18,01,2024
PREGUNTA, ¿Qué opina ya hubo una denuncia ayer de la alcaldesa y del precandidato a jefe de Gobierno?,0.0,17,18,01,2024
PREGUNTA," Buenos días, compañeras y compañeros de los medios; buenos días, señor presidente.",0.0,12,18,01,2024
PREGUNTA,"Héctor Tlatempa, del medio Puntos Suspensivos radio, Puntos Suspensivos Comunicación.",0.0,10,18,01,2024
PREGUNTA,"Señor presidente, los trabajadores de confianza de la Secretaría de Educación del estado de Tabasco expresan su preocupación por la falta de pago de la nivelación salarial anunciada públicamente para todo el personal de la Secretaría de Educación. Discuten que desde el año pasado no han recibido dicho aumento, a pesar de haber presentado escritos y oficios en diferentes instancias, como por ejemplo, aquí en Atención Ciudadana, sin obtener una respuesta positiva.",0.0,72,18,01,2024
PREGUNTA,"Señalan que sus sueldos, entre seis mil y siete mil 500 mensuales. están considerablemente por debajo de las y los compañeros de base que realizan tareas similares. Solicitan ser considerados para el aumento salarial, argumentando que su sueldo actual no garantiza una jubilación digna, especialmente ante el aumento constante de los costos de vida.",0.0,54,18,01,2024
